epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,33.5799,2.34389,33.4298,0.01091,0.00084,0.03846,0.00053,0.00021,1.75344,7.9973,0.00678,0.00141784,0.000472612,0.00141784,0.000472612,0.00141784,0.000472612,0.00141784,0.000472612
2,60.9045,1.83911,26.606,0.00824,0.00705,0.11071,0.01809,0.01452,1.64486,7.92444,0.00615,0.00281865,0.000939551,0.00281865,0.000939551,0.00281865,0.000939551,0.00281865,0.000939551
3,86.7983,1.61032,23.4723,0.00657,0.03985,0.39709,0.13577,0.10516,1.32723,6.8424,0.00447,0.00419117,0.00139706,0.00419117,0.00139706,0.00419117,0.00139706,0.00419117,0.00139706
4,112.928,1.39225,23.7568,0.00638,0.05869,0.7448,0.32555,0.21998,1.23679,6.12485,0.00389,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656
5,139.043,1.23425,16.9189,0.005,0.40109,0.43035,0.40571,0.29917,1.19393,5.69408,0.00415,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
6,165.141,1.29814,14.9924,0.00587,0.88173,0.27703,0.47779,0.33596,1.16339,4.53852,0.00388,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,191.204,1.1792,12.4635,0.00463,0.88163,0.33784,0.52458,0.38947,1.26498,3.29614,0.00401,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,217.466,1.19269,9.59659,0.00418,0.85549,0.38232,0.55151,0.41305,1.16507,2.45677,0.00369,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,244.396,1.19197,9.10306,0.0043,0.86748,0.35601,0.53316,0.38069,1.101,2.16242,0.00338,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,270.24,1.15426,9.01647,0.00449,0.76302,0.41892,0.50446,0.37839,1.10114,2.12422,0.00318,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
11,295.917,1.15493,6.68734,0.00414,0.43084,0.50936,0.48182,0.35459,1.05673,2.24756,0.00333,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
12,321.418,1.18545,6.45078,0.00458,0.84047,0.34459,0.49075,0.34796,1.0477,2.02255,0.00326,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338
13,347.254,1.13032,5.83083,0.00377,0.38239,0.41684,0.45462,0.31575,1.17193,1.92096,0.00398,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
14,372.867,1.10191,4.90159,0.004,0.41455,0.473,0.46015,0.31493,1.20158,1.87378,0.00391,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509
15,398.468,1.08756,4.20621,0.00352,0.34419,0.45654,0.4594,0.31815,1.18296,1.85889,0.0039,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
16,424.47,1.08284,4.0836,0.00337,0.68721,0.49862,0.4944,0.35065,1.20937,1.91622,0.00439,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
17,450.307,1.09143,3.50642,0.00348,0.42305,0.60591,0.53322,0.35634,1.17796,1.806,0.00374,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
18,476.368,1.11024,3.39247,0.00412,0.39666,0.51276,0.47656,0.31617,1.22102,1.7909,0.00361,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885
19,502.105,1.08256,3.02084,0.00352,0.38948,0.49844,0.44845,0.29817,1.17102,1.7972,0.0035,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
20,527.961,1.10997,3.19176,0.00451,0.38915,0.48773,0.42844,0.297,1.11343,1.80111,0.00345,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021
21,554.013,1.04992,2.65131,0.00323,0.44618,0.44647,0.44377,0.30263,1.16236,1.67447,0.00339,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
22,580.015,1.06893,2.77029,0.00403,0.53111,0.44157,0.44121,0.30318,1.1671,1.73637,0.0033,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
23,606.025,1.04617,2.52259,0.00362,0.5283,0.4277,0.42701,0.30355,1.16439,1.84029,0.00337,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
24,631.771,1.03516,2.2954,0.00356,0.55871,0.52921,0.52535,0.37956,1.16272,1.6467,0.00338,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362
25,657.997,1.08817,2.16132,0.00364,0.57359,0.46466,0.52114,0.38094,1.08668,1.67909,0.00325,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
26,684.214,1.03223,2.10061,0.00326,0.63394,0.45114,0.49054,0.33012,1.08097,1.83138,0.00328,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
27,710.627,1.03668,2.15972,0.00357,0.45665,0.62951,0.56252,0.3818,1.07536,1.67049,0.00315,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
28,737.204,1.01341,2.16454,0.00343,0.65887,0.55955,0.59667,0.39205,1.10463,1.59228,0.00297,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703
