epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,35.181,2.313,35.5345,0.01046,0.00438,0.07727,0.00352,0.0016,1.35103,5.77767,0.0038,0.00141766,0.000472553,0.00141766,0.000472553,0.00141766,0.000472553,0.00141766,0.000472553
2,62.0407,1.90497,25.7377,0.00846,0.0107,0.11733,0.01708,0.01012,1.10913,5.4771,0.00311,0.00281848,0.000939492,0.00281848,0.000939492,0.00281848,0.000939492,0.00281848,0.000939492
3,88.4784,1.56899,24.2127,0.00644,0.02238,0.31401,0.06476,0.0479,1.04203,5.25873,0.00264,0.004191,0.001397,0.004191,0.001397,0.004191,0.001397,0.004191,0.001397
4,115.824,1.39849,20.6005,0.00668,0.02957,0.45328,0.17398,0.14178,0.91255,4.91129,0.00224,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656
5,142.162,1.1962,16.4947,0.00456,0.03341,0.5614,0.23674,0.18985,0.86116,4.55063,0.00192,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
6,167.909,1.2467,15.3934,0.00553,0.98232,0.09929,0.29414,0.23713,0.88067,4.22216,0.00209,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,194.095,1.24012,13.2491,0.00537,0.9261,0.22414,0.3189,0.23709,0.82476,3.65099,0.00179,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,221.58,1.18559,10.7749,0.00504,0.9632,0.22865,0.35622,0.26415,0.83623,3.09259,0.00191,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,247.949,1.2012,8.91362,0.00453,0.92121,0.21277,0.36848,0.26475,0.82447,2.7128,0.00185,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,275.455,1.17455,8.18227,0.00484,0.1654,0.27133,0.30622,0.19643,0.90091,2.47324,0.00188,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
11,301.896,1.17261,7.86446,0.0045,0.20115,0.44591,0.3068,0.19951,0.96364,2.24074,0.00204,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
12,329.169,1.18296,7.01127,0.00426,0.24471,0.48826,0.33979,0.24198,0.87321,2.09505,0.00182,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338
13,355.324,1.12081,5.90444,0.00382,0.3709,0.54856,0.46535,0.35292,0.84494,1.91376,0.00176,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
