epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8561,1.55982,2.09031,0.00429,0.70694,0.68253,0.73084,0.48333,1.29897,1.23275,0.00385,0.000165591,0.000165591,0.0670473
2,90.3337,1.4173,1.80786,0.00342,0.7625,0.70113,0.78196,0.5044,1.25202,1.18081,0.00412,0.000330065,0.000330065,0.0338785
3,129.723,1.3054,1.61635,0.00331,0.76869,0.6897,0.79507,0.55588,1.15779,1.03997,0.00354,0.000492339,0.000492339,0.000707393
4,169.433,1.32083,1.51581,0.00295,0.69437,0.76438,0.77512,0.53178,1.15171,1.11352,0.00343,0.0004901,0.0004901,0.0004901
5,208.956,1.19947,1.56493,0.00316,0.7612,0.66461,0.7849,0.54424,1.1171,1.0286,0.00339,0.0004868,0.0004868,0.0004868
6,249.212,1.23164,1.42654,0.00395,0.74795,0.77795,0.82474,0.60206,1.01726,0.98859,0.00305,0.0004835,0.0004835,0.0004835
7,289.616,1.13644,1.35942,0.00277,0.78853,0.78897,0.82968,0.6073,1.03676,0.96097,0.00302,0.0004802,0.0004802,0.0004802
8,328.842,1.10241,1.32707,0.00271,0.76147,0.81385,0.84585,0.63699,1.01506,0.88711,0.00309,0.0004769,0.0004769,0.0004769
9,368.176,1.08903,1.23802,0.00286,0.79761,0.77837,0.84747,0.62554,1.03518,0.96756,0.00291,0.0004736,0.0004736,0.0004736
10,407.522,1.06452,1.22186,0.00255,0.74163,0.80886,0.84251,0.63232,0.99551,0.86716,0.00285,0.0004703,0.0004703,0.0004703
11,447.078,1.13315,1.33645,0.00286,0.7605,0.81302,0.85672,0.6396,1.01855,0.80894,0.00295,0.000467,0.000467,0.000467
12,486.583,1.08409,1.15605,0.00299,0.74893,0.78434,0.83627,0.62612,0.97676,0.84187,0.00272,0.0004637,0.0004637,0.0004637
13,526.176,1.07427,1.18768,0.00261,0.79024,0.79055,0.85439,0.66154,0.9504,0.79017,0.00281,0.0004604,0.0004604,0.0004604
14,565.336,1.08376,1.21429,0.00266,0.8129,0.77477,0.85662,0.66273,0.91079,0.82508,0.00276,0.0004571,0.0004571,0.0004571
15,606.056,1.02075,1.0658,0.00221,0.79572,0.80783,0.87038,0.66867,0.9039,0.78543,0.00282,0.0004538,0.0004538,0.0004538
16,645.655,1.08093,1.20414,0.00274,0.80986,0.78761,0.86089,0.66428,0.92139,0.7522,0.00285,0.0004505,0.0004505,0.0004505
17,684.614,1.03795,1.14041,0.00288,0.77838,0.79587,0.85142,0.65757,0.89598,0.80159,0.00275,0.0004472,0.0004472,0.0004472
18,724.113,1.01547,1.09806,0.00252,0.78627,0.83353,0.87517,0.68138,0.87562,0.73854,0.00261,0.0004439,0.0004439,0.0004439
19,763.258,1.00373,1.04691,0.00232,0.82279,0.80209,0.87542,0.68177,0.87773,0.72367,0.00265,0.0004406,0.0004406,0.0004406
20,802.362,0.97695,1.02123,0.00217,0.81309,0.81599,0.8767,0.6667,0.93328,0.75839,0.00267,0.0004373,0.0004373,0.0004373
21,842.022,0.9823,1.07258,0.00258,0.83196,0.82981,0.88855,0.68073,0.93145,0.72194,0.00264,0.000434,0.000434,0.000434
22,881.399,0.98562,1.00814,0.00243,0.80863,0.82528,0.87974,0.67665,0.90933,0.74839,0.00281,0.0004307,0.0004307,0.0004307
23,921.402,1.0155,0.98107,0.00231,0.81136,0.82762,0.87577,0.64999,0.96738,0.76494,0.0027,0.0004274,0.0004274,0.0004274
24,962.032,1.05072,1.07112,0.00267,0.77575,0.81775,0.86345,0.66089,0.96216,0.72893,0.00273,0.0004241,0.0004241,0.0004241
25,1001.06,1.0139,1.03581,0.00246,0.81233,0.80489,0.89386,0.68224,0.9336,0.68147,0.00268,0.0004208,0.0004208,0.0004208
26,1040.61,1.00361,1.03016,0.00243,0.79573,0.85995,0.89947,0.71069,0.86865,0.67185,0.00266,0.0004175,0.0004175,0.0004175
27,1080.04,1.03792,1.05347,0.00295,0.82789,0.8505,0.9081,0.7176,0.8479,0.66745,0.0026,0.0004142,0.0004142,0.0004142
28,1119.05,0.9635,0.9031,0.00228,0.84427,0.85649,0.91139,0.70297,0.87751,0.65461,0.00262,0.0004109,0.0004109,0.0004109
29,1157.79,0.97064,0.93649,0.00223,0.8403,0.82548,0.89779,0.69882,0.89189,0.69519,0.00249,0.0004076,0.0004076,0.0004076
30,1197.11,0.95182,0.96287,0.0024,0.77574,0.84978,0.88285,0.68075,0.86784,0.72116,0.00247,0.0004043,0.0004043,0.0004043
31,1236.76,0.94029,0.90453,0.00243,0.83561,0.85834,0.90896,0.72463,0.82965,0.64251,0.00242,0.000401,0.000401,0.000401
32,1275.15,0.96066,0.92745,0.00242,0.83641,0.85708,0.90814,0.71604,0.85379,0.64621,0.00253,0.0003977,0.0003977,0.0003977
33,1315.85,0.98884,0.94722,0.00248,0.82846,0.85986,0.90397,0.7031,0.89383,0.64816,0.00266,0.0003944,0.0003944,0.0003944
34,1354.15,0.96051,0.91706,0.00251,0.85324,0.83606,0.90275,0.72084,0.84046,0.64371,0.00253,0.0003911,0.0003911,0.0003911
35,1392.45,0.94447,0.85707,0.00214,0.82683,0.87704,0.91064,0.72113,0.83701,0.6456,0.00253,0.0003878,0.0003878,0.0003878
36,1430.78,0.99002,0.90714,0.00255,0.86406,0.8368,0.9151,0.72792,0.8274,0.63751,0.00258,0.0003845,0.0003845,0.0003845
37,1470.26,0.9709,0.91793,0.00227,0.83448,0.8801,0.92263,0.7344,0.84799,0.62308,0.00257,0.0003812,0.0003812,0.0003812
38,1509.58,0.96613,0.86281,0.00241,0.84678,0.88259,0.92198,0.7306,0.84738,0.60512,0.00264,0.0003779,0.0003779,0.0003779
39,1548.78,0.92078,0.83898,0.00194,0.84188,0.86734,0.9164,0.72609,0.83349,0.61605,0.00252,0.0003746,0.0003746,0.0003746
40,1588.02,0.91207,0.88367,0.0022,0.83654,0.87379,0.90752,0.73079,0.81464,0.63812,0.0023,0.0003713,0.0003713,0.0003713
41,1626.7,0.94688,0.89261,0.00232,0.80823,0.89514,0.90897,0.71573,0.84111,0.6243,0.00257,0.000368,0.000368,0.000368
42,1666.92,0.90988,0.82244,0.00219,0.85112,0.83734,0.90221,0.70617,0.86488,0.63094,0.00262,0.0003647,0.0003647,0.0003647
43,1705.83,0.90244,0.82591,0.00201,0.8333,0.86501,0.91185,0.71102,0.85015,0.65958,0.00258,0.0003614,0.0003614,0.0003614
44,1745.38,0.93084,0.88656,0.00212,0.80287,0.87476,0.90157,0.69829,0.88352,0.66834,0.00269,0.0003581,0.0003581,0.0003581
45,1783.86,0.91349,0.8324,0.0022,0.80566,0.87266,0.90622,0.71741,0.83092,0.63111,0.00248,0.0003548,0.0003548,0.0003548
46,1823.47,0.94236,0.85931,0.00236,0.83119,0.87784,0.91558,0.72705,0.82034,0.62303,0.00243,0.0003515,0.0003515,0.0003515
47,1862.54,0.90525,0.81724,0.00206,0.85534,0.85828,0.92355,0.74321,0.81402,0.60148,0.00243,0.0003482,0.0003482,0.0003482
48,1901.75,0.88703,0.7856,0.00236,0.83887,0.87249,0.92167,0.74463,0.78069,0.60727,0.00238,0.0003449,0.0003449,0.0003449
49,1940.45,0.8945,0.75739,0.00221,0.83889,0.86385,0.9114,0.73477,0.81192,0.6472,0.00232,0.0003416,0.0003416,0.0003416
50,1979.61,0.8753,0.76812,0.00191,0.86741,0.86554,0.91932,0.72792,0.82187,0.63119,0.00242,0.0003383,0.0003383,0.0003383
51,2019.11,0.85848,0.743,0.00176,0.86978,0.86541,0.92697,0.74043,0.81762,0.59515,0.00245,0.000335,0.000335,0.000335
52,2058.31,0.88548,0.761,0.00228,0.84309,0.88446,0.92547,0.74623,0.81238,0.58853,0.00235,0.0003317,0.0003317,0.0003317
53,2097.92,0.90753,0.77893,0.00228,0.85113,0.87433,0.92266,0.74036,0.82626,0.58714,0.00244,0.0003284,0.0003284,0.0003284
54,2136.88,0.92648,0.83284,0.00221,0.84608,0.88074,0.92898,0.74323,0.80678,0.61051,0.00251,0.0003251,0.0003251,0.0003251
55,2175.73,0.85942,0.76547,0.00214,0.8553,0.88861,0.9233,0.74436,0.79581,0.60996,0.00232,0.0003218,0.0003218,0.0003218
56,2214.65,0.8608,0.72731,0.00204,0.85472,0.90127,0.92975,0.75053,0.78404,0.56968,0.00233,0.0003185,0.0003185,0.0003185
57,2253.46,0.86746,0.75136,0.00227,0.87515,0.88043,0.93108,0.75428,0.79286,0.57933,0.00229,0.0003152,0.0003152,0.0003152
58,2292.74,0.82925,0.69102,0.00182,0.85987,0.88922,0.92305,0.752,0.7865,0.58799,0.00226,0.0003119,0.0003119,0.0003119
59,2331.65,0.86149,0.70638,0.00222,0.86216,0.88377,0.9322,0.7477,0.80475,0.57791,0.00239,0.0003086,0.0003086,0.0003086
60,2371.04,0.89034,0.72812,0.00224,0.88799,0.87152,0.93285,0.75622,0.78769,0.58256,0.00247,0.0003053,0.0003053,0.0003053
61,2410.87,0.85604,0.69982,0.00185,0.85237,0.91549,0.92705,0.75269,0.77558,0.61644,0.00238,0.000302,0.000302,0.000302
62,2450.04,0.82164,0.72148,0.0021,0.8502,0.90811,0.92997,0.74306,0.8131,0.59843,0.00258,0.0002987,0.0002987,0.0002987
63,2488.67,0.80664,0.66414,0.00162,0.85851,0.88814,0.93309,0.75261,0.79581,0.54928,0.00237,0.0002954,0.0002954,0.0002954
64,2527.89,0.8633,0.69762,0.00215,0.84877,0.88519,0.92499,0.75393,0.76761,0.55939,0.00234,0.0002921,0.0002921,0.0002921
65,2566.64,0.86069,0.72899,0.00203,0.85514,0.89933,0.9266,0.74901,0.79086,0.57231,0.00235,0.0002888,0.0002888,0.0002888
66,2605.71,0.84747,0.71984,0.00177,0.83267,0.89251,0.92106,0.74997,0.79394,0.60987,0.00229,0.0002855,0.0002855,0.0002855
67,2644.73,0.87116,0.71466,0.00193,0.84313,0.8857,0.92119,0.73965,0.80825,0.59775,0.00229,0.0002822,0.0002822,0.0002822
68,2683.53,0.82811,0.67618,0.00196,0.84893,0.8852,0.92576,0.74887,0.80015,0.56994,0.00231,0.0002789,0.0002789,0.0002789
69,2722.4,0.84738,0.65667,0.00196,0.86648,0.89922,0.93103,0.75639,0.79449,0.56433,0.00236,0.0002756,0.0002756,0.0002756
70,2762.4,0.80865,0.66789,0.00199,0.85882,0.89314,0.9327,0.75474,0.79873,0.54891,0.00235,0.0002723,0.0002723,0.0002723
71,2801.25,0.82211,0.67917,0.00198,0.86815,0.88641,0.93386,0.7562,0.79122,0.55335,0.00234,0.000269,0.000269,0.000269
72,2840.87,0.82183,0.71158,0.00206,0.86663,0.88064,0.92744,0.74169,0.81135,0.62693,0.00233,0.0002657,0.0002657,0.0002657
73,2879.98,0.85211,0.70428,0.00187,0.89097,0.86801,0.92934,0.74315,0.79191,0.59482,0.00242,0.0002624,0.0002624,0.0002624
74,2919.11,0.82644,0.69496,0.00192,0.86279,0.90197,0.92737,0.73528,0.79678,0.64357,0.00243,0.0002591,0.0002591,0.0002591
75,2958.32,0.83559,0.68436,0.00183,0.86868,0.91573,0.92986,0.75085,0.76361,0.60182,0.00228,0.0002558,0.0002558,0.0002558
76,2997.61,0.8214,0.66742,0.00202,0.85826,0.89899,0.91845,0.74549,0.77967,0.63609,0.00225,0.0002525,0.0002525,0.0002525
77,3036.86,0.82283,0.63021,0.00172,0.86233,0.90001,0.92969,0.74623,0.7896,0.5881,0.00224,0.0002492,0.0002492,0.0002492
78,3076.03,0.81993,0.65805,0.00172,0.88005,0.88947,0.92917,0.75493,0.76196,0.57367,0.00229,0.0002459,0.0002459,0.0002459
79,3116.94,0.85104,0.72928,0.00234,0.85669,0.91,0.92807,0.7566,0.75,0.58524,0.00209,0.0002426,0.0002426,0.0002426
80,3156.26,0.84473,0.68123,0.00202,0.8737,0.90562,0.92577,0.75525,0.75618,0.59134,0.00213,0.0002393,0.0002393,0.0002393
81,3195.97,0.76795,0.63045,0.00144,0.85547,0.91517,0.92547,0.7481,0.79505,0.625,0.00218,0.000236,0.000236,0.000236
82,3235.1,0.79359,0.61438,0.00169,0.88486,0.90103,0.93411,0.75511,0.77161,0.60598,0.00228,0.0002327,0.0002327,0.0002327
83,3274.17,0.83912,0.61191,0.00183,0.87037,0.90321,0.93393,0.74885,0.7859,0.60589,0.00229,0.0002294,0.0002294,0.0002294
84,3313.01,0.80079,0.63259,0.00174,0.903,0.88689,0.93879,0.75639,0.79174,0.56073,0.00231,0.0002261,0.0002261,0.0002261
85,3351.9,0.81091,0.61439,0.00157,0.87336,0.91014,0.93545,0.75532,0.79523,0.5794,0.00236,0.0002228,0.0002228,0.0002228
86,3391.16,0.78021,0.58218,0.00154,0.87778,0.90602,0.93675,0.76741,0.74639,0.59434,0.00215,0.0002195,0.0002195,0.0002195
87,3430.13,0.81962,0.62149,0.00167,0.87599,0.8997,0.93346,0.75164,0.76958,0.6033,0.00221,0.0002162,0.0002162,0.0002162
88,3470.52,0.82276,0.64429,0.00193,0.8791,0.89823,0.93468,0.76047,0.76182,0.57343,0.00228,0.0002129,0.0002129,0.0002129
89,3509.48,0.78078,0.62148,0.00185,0.87483,0.89896,0.93131,0.75912,0.76631,0.56004,0.00232,0.0002096,0.0002096,0.0002096
90,3548.17,0.77726,0.58451,0.00174,0.85827,0.89637,0.92989,0.75405,0.76632,0.56032,0.00225,0.0002063,0.0002063,0.0002063
91,3587.33,0.79439,0.66784,0.00207,0.88032,0.90465,0.93983,0.76768,0.75552,0.53323,0.00225,0.000203,0.000203,0.000203
92,3626.4,0.79675,0.56357,0.00153,0.88561,0.90222,0.9392,0.7612,0.76855,0.52717,0.00226,0.0001997,0.0001997,0.0001997
93,3665.32,0.7636,0.6189,0.00195,0.87441,0.89509,0.93581,0.75917,0.75729,0.55032,0.00235,0.0001964,0.0001964,0.0001964
94,3704.84,0.82956,0.66849,0.00206,0.87118,0.9105,0.93814,0.76316,0.7572,0.53782,0.00228,0.0001931,0.0001931,0.0001931
95,3743.98,0.79504,0.60232,0.00198,0.89703,0.88192,0.94215,0.76802,0.74959,0.5558,0.00222,0.0001898,0.0001898,0.0001898
96,3782.66,0.78089,0.59609,0.0018,0.87662,0.89278,0.93606,0.77228,0.7289,0.55318,0.00212,0.0001865,0.0001865,0.0001865
97,3822.22,0.77207,0.58489,0.00185,0.89139,0.90137,0.94263,0.78305,0.72311,0.53413,0.00209,0.0001832,0.0001832,0.0001832
98,3862.25,0.7853,0.62433,0.00187,0.88233,0.90218,0.93861,0.77137,0.74368,0.53876,0.00219,0.0001799,0.0001799,0.0001799
99,3901.46,0.78413,0.59948,0.00198,0.89297,0.89694,0.93639,0.7707,0.74367,0.54418,0.00222,0.0001766,0.0001766,0.0001766
100,3940.46,0.77401,0.58301,0.00173,0.87723,0.91233,0.93869,0.76827,0.74436,0.53018,0.00225,0.0001733,0.0001733,0.0001733
101,3979.93,0.75481,0.54907,0.00144,0.90125,0.89127,0.9401,0.77407,0.75603,0.5397,0.00222,0.00017,0.00017,0.00017
102,4019.87,0.77281,0.60946,0.00176,0.86704,0.9262,0.93679,0.76682,0.74103,0.56164,0.00218,0.0001667,0.0001667,0.0001667
103,4059.3,0.80186,0.60401,0.00164,0.87188,0.92737,0.93854,0.77317,0.73853,0.54298,0.0022,0.0001634,0.0001634,0.0001634
104,4100.5,0.77592,0.56032,0.00175,0.86918,0.92457,0.93796,0.76279,0.76177,0.53927,0.00226,0.0001601,0.0001601,0.0001601
105,4141.18,0.77995,0.59949,0.00201,0.89002,0.88075,0.94094,0.77059,0.75993,0.54093,0.00223,0.0001568,0.0001568,0.0001568
106,4181.62,0.75681,0.62832,0.00161,0.87748,0.89375,0.93833,0.76911,0.75011,0.54771,0.00217,0.0001535,0.0001535,0.0001535
107,4222.11,0.76503,0.56684,0.00176,0.88976,0.8983,0.93877,0.77126,0.73696,0.53907,0.00216,0.0001502,0.0001502,0.0001502
108,4263.15,0.76438,0.56223,0.00172,0.89129,0.90397,0.93705,0.77001,0.74092,0.54849,0.00216,0.0001469,0.0001469,0.0001469
109,4303.29,0.75681,0.58633,0.00185,0.89546,0.91817,0.94071,0.76952,0.74043,0.54783,0.00216,0.0001436,0.0001436,0.0001436
110,4342.92,0.75756,0.55691,0.00163,0.88944,0.9182,0.94401,0.77623,0.72487,0.53205,0.00215,0.0001403,0.0001403,0.0001403
111,4383.07,0.75562,0.60461,0.00175,0.89033,0.90656,0.94592,0.77939,0.714,0.53548,0.0021,0.000137,0.000137,0.000137
112,4424.37,0.77821,0.55748,0.00142,0.90303,0.90931,0.95175,0.78195,0.72124,0.52546,0.0021,0.0001337,0.0001337,0.0001337
113,4464.7,0.75221,0.60527,0.00171,0.91147,0.88516,0.9457,0.78059,0.73692,0.53869,0.00208,0.0001304,0.0001304,0.0001304
114,4504.88,0.73412,0.54169,0.00188,0.88889,0.90587,0.94366,0.78562,0.70221,0.53663,0.00202,0.0001271,0.0001271,0.0001271
115,4545.65,0.76633,0.57155,0.00224,0.87694,0.91466,0.93889,0.77738,0.70499,0.5501,0.00208,0.0001238,0.0001238,0.0001238
116,4586.08,0.74495,0.56219,0.00155,0.89555,0.9065,0.94302,0.78244,0.71151,0.54948,0.0021,0.0001205,0.0001205,0.0001205
117,4626.27,0.75808,0.55839,0.00181,0.89545,0.90251,0.94478,0.7837,0.70883,0.53886,0.00206,0.0001172,0.0001172,0.0001172
118,4666.02,0.74336,0.56315,0.00164,0.88649,0.91658,0.94438,0.78352,0.7212,0.53935,0.00206,0.0001139,0.0001139,0.0001139
119,4706.23,0.75785,0.59588,0.00203,0.88612,0.91962,0.9454,0.78279,0.71436,0.53334,0.00208,0.0001106,0.0001106,0.0001106
120,4747.02,0.78045,0.57638,0.00153,0.8834,0.9153,0.94484,0.78549,0.69983,0.52751,0.00205,0.0001073,0.0001073,0.0001073
121,4787.86,0.77312,0.56868,0.00162,0.89452,0.91382,0.94717,0.78491,0.71673,0.523,0.00207,0.000104,0.000104,0.000104
122,4828.35,0.73484,0.60199,0.00185,0.88709,0.92243,0.94575,0.78919,0.69808,0.51499,0.00197,0.0001007,0.0001007,0.0001007
123,4868.37,0.77564,0.5643,0.00189,0.89567,0.90723,0.94621,0.78204,0.71502,0.52285,0.00201,9.74e-05,9.74e-05,9.74e-05
124,4909.66,0.7523,0.56762,0.00156,0.88894,0.9149,0.94327,0.78101,0.71235,0.52849,0.00201,9.41e-05,9.41e-05,9.41e-05
125,4949.09,0.74395,0.54222,0.00182,0.88761,0.92384,0.94382,0.78346,0.70931,0.51278,0.00203,9.08e-05,9.08e-05,9.08e-05
126,4988.68,0.70426,0.50843,0.00165,0.89379,0.92139,0.94293,0.78528,0.70235,0.5169,0.00202,8.75e-05,8.75e-05,8.75e-05
127,5027.64,0.71272,0.52692,0.00183,0.89529,0.91786,0.94508,0.78908,0.6947,0.5116,0.00201,8.42e-05,8.42e-05,8.42e-05
128,5066.67,0.73076,0.50969,0.00174,0.90168,0.90515,0.94491,0.7869,0.69355,0.50515,0.00202,8.09e-05,8.09e-05,8.09e-05
129,5106.04,0.71293,0.50346,0.00157,0.89525,0.90945,0.94531,0.78714,0.70234,0.50415,0.00199,7.76e-05,7.76e-05,7.76e-05
130,5145.29,0.72467,0.54027,0.0017,0.9006,0.91165,0.94698,0.784,0.71085,0.50728,0.00201,7.43e-05,7.43e-05,7.43e-05
131,5184.47,0.70848,0.52346,0.00145,0.89807,0.91791,0.94694,0.78656,0.6953,0.50481,0.002,7.1e-05,7.1e-05,7.1e-05
132,5224.66,0.75335,0.57965,0.00167,0.89006,0.91958,0.94493,0.78705,0.70446,0.51069,0.00204,6.77e-05,6.77e-05,6.77e-05
133,5265.66,0.75133,0.54817,0.00161,0.88581,0.91086,0.94424,0.78342,0.70287,0.51322,0.00204,6.44e-05,6.44e-05,6.44e-05
134,5305.45,0.74502,0.56255,0.00223,0.88708,0.91138,0.94574,0.78366,0.70275,0.50711,0.00205,6.11e-05,6.11e-05,6.11e-05
135,5345.12,0.75792,0.54696,0.00199,0.88309,0.92898,0.94531,0.78256,0.70117,0.51949,0.00203,5.78e-05,5.78e-05,5.78e-05
136,5384.52,0.75135,0.51103,0.00188,0.8749,0.93038,0.94605,0.78654,0.701,0.52325,0.00204,5.45e-05,5.45e-05,5.45e-05
137,5424.04,0.74221,0.54896,0.00176,0.89358,0.91857,0.947,0.78761,0.69827,0.50542,0.00204,5.12e-05,5.12e-05,5.12e-05
138,5463,0.72948,0.50813,0.00154,0.89797,0.91248,0.9472,0.78494,0.70043,0.51517,0.00201,4.79e-05,4.79e-05,4.79e-05
